,Bidirectional,Nr_layers,Layer_size,Regularization,Dropout,Loss,Accuracy
0,False,1,16,0.0,0.0,0.6446556448936462,0.6211152672767639
1,False,1,16,0.0,0.2,0.6440984606742859,0.6197025775909424
2,False,1,16,0.0,0.4,0.6437309980392456,0.6191077828407288
3,False,1,16,0.0,0.6,0.6444025039672852,0.6178438663482666
4,False,1,16,0.0001,0.0,0.649815559387207,0.6156877279281616
5,False,1,16,0.0001,0.2,0.651392936706543,0.6163568496704102
6,False,1,16,0.0001,0.4,0.654577374458313,0.615539014339447
7,False,1,16,0.0001,0.6,0.6641992926597595,0.615539014339447
8,False,1,16,0.001,0.0,0.6657406687736511,0.617695152759552
9,False,1,16,0.001,0.2,0.6701652407646179,0.6158364415168762
10,False,1,16,0.001,0.4,0.6727627515792847,0.615539014339447
11,False,1,16,0.001,0.6,0.695326566696167,0.615539014339447
12,False,1,16,0.01,0.0,0.6927958726882935,0.6175464391708374
13,False,1,16,0.01,0.2,0.7209128141403198,0.615539014339447
14,False,1,16,0.01,0.4,0.7651985883712769,0.6147955656051636
15,False,1,16,0.01,0.6,0.7910642623901367,0.6184386610984802
16,False,1,32,0.0,0.0,0.644601583480835,0.6175464391708374
17,False,1,32,0.0,0.2,0.6451143026351929,0.6150186061859131
18,False,1,32,0.0,0.4,0.6439710855484009,0.6191821694374084
19,False,1,32,0.0,0.6,0.6438528895378113,0.6204460859298706
20,False,1,32,0.0001,0.0,0.6507944464683533,0.6173233985900879
21,False,1,32,0.0001,0.2,0.6520656943321228,0.6167286038398743
22,False,1,32,0.0001,0.4,0.6537550091743469,0.6165799498558044
23,False,1,32,0.0001,0.6,0.6561462879180908,0.6144238114356995
24,False,1,32,0.001,0.0,0.6631292700767517,0.6167286038398743
25,False,1,32,0.001,0.2,0.6660363078117371,0.6165799498558044
26,False,1,32,0.001,0.4,0.6749129891395569,0.6147955656051636
27,False,1,32,0.001,0.6,0.6798123121261597,0.6147211790084839
28,False,1,32,0.01,0.0,0.6945489048957825,0.6167286038398743
29,False,1,32,0.01,0.2,0.7260605692863464,0.6154646873474121
30,False,1,32,0.01,0.4,0.7371253967285156,0.615539014339447
31,False,1,32,0.01,0.6,0.7668105959892273,0.615539014339447
32,False,1,64,0.0,0.0,0.6443783640861511,0.6166542768478394
33,False,1,64,0.0,0.2,0.644159197807312,0.6191821694374084
34,False,1,64,0.0,0.4,0.6448030471801758,0.6185873746871948
35,False,1,64,0.0,0.6,0.6437791585922241,0.6200743317604065
36,False,1,64,0.0001,0.0,0.65071702003479,0.6173233985900879
37,False,1,64,0.0001,0.2,0.6533260941505432,0.6169516444206238
38,False,1,64,0.0001,0.4,0.6520314812660217,0.6176208257675171
39,False,1,64,0.0001,0.6,0.6547356247901917,0.6143494248390198
40,False,1,64,0.001,0.0,0.6665970683097839,0.6168773174285889
41,False,1,64,0.001,0.2,0.6689293384552002,0.6169516444206238
42,False,1,64,0.001,0.4,0.6709021329879761,0.6167286038398743
43,False,1,64,0.001,0.6,0.6761802434921265,0.6153903603553772
44,False,1,64,0.01,0.0,0.7088236212730408,0.6167286038398743
45,False,1,64,0.01,0.2,0.726984977722168,0.6169516444206238
46,False,1,64,0.01,0.4,0.7820835113525391,0.615539014339447
47,False,1,64,0.01,0.6,0.7755562663078308,0.615539014339447
48,False,2,16,0.0,0.0,0.6451401114463806,0.619330883026123
49,False,2,16,0.0,0.2,0.6439242362976074,0.615539014339447
50,False,2,16,0.0,0.4,0.6442049741744995,0.6149442195892334
51,False,2,16,0.0,0.6,0.6493469476699829,0.615539014339447
52,False,2,16,0.0001,0.0,0.6845226287841797,0.6165799498558044
53,False,2,16,0.0001,0.2,0.6599652171134949,0.616802990436554
54,False,2,16,0.0001,0.4,0.6641972661018372,0.615539014339447
55,False,2,16,0.0001,0.6,0.6811858415603638,0.615539014339447
56,False,2,16,0.001,0.0,0.6796972155570984,0.6144238114356995
57,False,2,16,0.001,0.2,0.7089922428131104,0.6184386610984802
58,False,2,16,0.001,0.4,0.7369785308837891,0.615539014339447
59,False,2,16,0.001,0.6,0.7708540558815002,0.6184386610984802
60,False,2,16,0.01,0.0,2.702313184738159,0.14267657697200775
61,False,2,16,0.01,0.2,2.702316999435425,0.14267657697200775
62,False,2,16,0.01,0.4,2.7023212909698486,0.14267657697200775
63,False,2,16,0.01,0.6,2.7023239135742188,0.14267657697200775
64,False,2,32,0.0,0.0,0.6449872255325317,0.6196282505989075
65,False,2,32,0.0,0.2,0.6448401212692261,0.6201487183570862
66,False,2,32,0.0,0.4,0.6455633640289307,0.6216356754302979
67,False,2,32,0.0,0.6,0.6443998217582703,0.6194795370101929
68,False,2,32,0.0001,0.0,0.652712881565094,0.6159107685089111
69,False,2,32,0.0001,0.2,0.6568781137466431,0.6179181933403015
70,False,2,32,0.0001,0.4,0.6583887338638306,0.6147955656051636
71,False,2,32,0.0001,0.6,0.6647058129310608,0.614646852016449
72,False,2,32,0.001,0.0,0.6751519441604614,0.6167286038398743
73,False,2,32,0.001,0.2,0.7017530798912048,0.6169516444206238
74,False,2,32,0.001,0.4,0.7025449275970459,0.6143494248390198
75,False,2,32,0.001,0.6,0.7273379564285278,0.615539014339447
76,False,2,32,0.01,0.0,2.7023117542266846,0.14267657697200775
77,False,2,32,0.01,0.2,2.70231294631958,0.14267657697200775
78,False,2,32,0.01,0.4,2.7023110389709473,0.14267657697200775
79,False,2,32,0.01,0.6,2.702331066131592,0.14267657697200775
80,False,2,64,0.0,0.0,0.6443652510643005,0.6171747446060181
81,False,2,64,0.0,0.2,0.6466307640075684,0.620297372341156
82,False,2,64,0.0,0.4,0.646084189414978,0.6182156205177307
83,False,2,64,0.0,0.6,0.6447246670722961,0.6177695393562317
84,False,2,64,0.0001,0.0,0.6511697769165039,0.6158364415168762
85,False,2,64,0.0001,0.2,0.6554996371269226,0.617249071598053
86,False,2,64,0.0001,0.4,0.6604657173156738,0.6159851551055908
87,False,2,64,0.0001,0.6,0.6619966626167297,0.6163568496704102
88,False,2,64,0.001,0.0,0.678922176361084,0.6169516444206238
89,False,2,64,0.001,0.2,0.6898952126502991,0.6144238114356995
90,False,2,64,0.001,0.4,0.7015049457550049,0.6154646873474121
91,False,2,64,0.001,0.6,0.7278298735618591,0.6167286038398743
92,False,2,64,0.01,0.0,2.7023065090179443,0.14267657697200775
93,False,2,64,0.01,0.2,2.7023074626922607,0.14267657697200775
94,False,2,64,0.01,0.4,2.702306032180786,0.14267657697200775
95,False,2,64,0.01,0.6,2.7023098468780518,0.14267657697200775
96,True,1,16,0.0,0.0,0.6445056796073914,0.6200743317604065
97,True,1,16,0.0,0.2,0.644631564617157,0.6191077828407288
98,True,1,16,0.0,0.4,0.6442615985870361,0.6179181933403015
99,True,1,16,0.0,0.6,0.6437947154045105,0.6147955656051636
100,True,1,16,0.0001,0.0,0.6476103067398071,0.6147955656051636
101,True,1,16,0.0001,0.2,0.6486760973930359,0.6151672601699829
102,True,1,16,0.0001,0.4,0.6505076885223389,0.6188847422599792
103,True,1,16,0.0001,0.6,0.6531282067298889,0.615539014339447
104,True,1,16,0.001,0.0,0.6639869213104248,0.6213383078575134
105,True,1,16,0.001,0.2,0.6591922640800476,0.6157620549201965
106,True,1,16,0.001,0.4,0.6693166494369507,0.6164312362670898
107,True,1,16,0.001,0.6,0.6730296611785889,0.615539014339447
108,True,1,16,0.01,0.0,0.7052225470542908,0.6167286038398743
109,True,1,16,0.01,0.2,0.7394101619720459,0.6147211790084839
110,True,1,16,0.01,0.4,0.7430239319801331,0.615539014339447
111,True,1,16,0.01,0.6,0.7696235179901123,0.615539014339447
112,True,1,32,0.0,0.0,0.6483385562896729,0.612936794757843
113,True,1,32,0.0,0.2,0.6445631980895996,0.6185873746871948
114,True,1,32,0.0,0.4,0.6447575688362122,0.6223048567771912
115,True,1,32,0.0,0.6,0.6444427967071533,0.6190334558486938
116,True,1,32,0.0001,0.0,0.6472957134246826,0.6173233985900879
117,True,1,32,0.0001,0.2,0.6485040187835693,0.6179181933403015
118,True,1,32,0.0001,0.4,0.6484693288803101,0.6179181933403015
119,True,1,32,0.0001,0.6,0.6510999798774719,0.6171003580093384
120,True,1,32,0.001,0.0,0.6571991443634033,0.6169516444206238
121,True,1,32,0.001,0.2,0.6578383445739746,0.6173233985900879
122,True,1,32,0.001,0.4,0.6605097055435181,0.615539014339447
123,True,1,32,0.001,0.6,0.665198028087616,0.615539014339447
124,True,1,32,0.01,0.0,0.7038059234619141,0.6156134009361267
125,True,1,32,0.01,0.2,0.7313051223754883,0.615539014339447
126,True,1,32,0.01,0.4,0.7646089196205139,0.615539014339447
127,True,1,32,0.01,0.6,0.8061649799346924,0.615539014339447
128,True,1,64,0.0,0.0,0.6456809639930725,0.6185873746871948
129,True,1,64,0.0,0.2,0.6445426344871521,0.6186617016792297
130,True,1,64,0.0,0.4,0.6450667977333069,0.6218587160110474
131,True,1,64,0.0,0.6,0.6437293887138367,0.6217843890190125
132,True,1,64,0.0001,0.0,0.6470239162445068,0.6163568496704102
133,True,1,64,0.0001,0.2,0.6475875377655029,0.6162825226783752
134,True,1,64,0.0001,0.4,0.6490193605422974,0.6159851551055908
135,True,1,64,0.0001,0.6,0.6494165062904358,0.6156877279281616
136,True,1,64,0.001,0.0,0.6913718581199646,0.6210408806800842
137,True,1,64,0.001,0.2,0.6626350283622742,0.6169516444206238
138,True,1,64,0.001,0.4,0.6642001867294312,0.6160594820976257
139,True,1,64,0.001,0.6,0.6630043387413025,0.615539014339447
140,True,1,64,0.01,0.0,0.7240859270095825,0.6178438663482666
141,True,1,64,0.01,0.2,0.7450529932975769,0.615539014339447
142,True,1,64,0.01,0.4,0.7631862759590149,0.615539014339447
143,True,1,64,0.01,0.6,0.8773003220558167,0.615539014339447
144,True,2,16,0.0,0.0,0.6445003747940063,0.6206691265106201
145,True,2,16,0.0,0.2,0.6444775462150574,0.6212639212608337
146,True,2,16,0.0,0.4,0.6443315744400024,0.6217843890190125
147,True,2,16,0.0,0.6,0.6440458297729492,0.6175464391708374
148,True,2,16,0.0001,0.0,0.6465958952903748,0.6159851551055908
149,True,2,16,0.0001,0.2,0.6628789305686951,0.6206691265106201
150,True,2,16,0.0001,0.4,0.6494919061660767,0.615539014339447
151,True,2,16,0.0001,0.6,0.6546410918235779,0.615539014339447
152,True,2,16,0.001,0.0,0.674937903881073,0.6150186061859131
153,True,2,16,0.001,0.2,0.6590065360069275,0.6149442195892334
154,True,2,16,0.001,0.4,0.6646410822868347,0.615539014339447
155,True,2,16,0.001,0.6,0.6765864491462708,0.615539014339447
156,True,2,16,0.01,0.0,2.7023115158081055,0.14267657697200775
157,True,2,16,0.01,0.2,2.702312707901001,0.14267657697200775
158,True,2,16,0.01,0.4,2.702324390411377,0.14267657697200775
159,True,2,16,0.01,0.6,2.7023417949676514,0.14267657697200775
160,True,2,32,0.0,0.0,0.6456519365310669,0.6171003580093384
161,True,2,32,0.0,0.2,0.6449394226074219,0.6182899475097656
162,True,2,32,0.0,0.4,0.6439543962478638,0.6163568496704102
163,True,2,32,0.0,0.6,0.6447176337242126,0.6191821694374084
164,True,2,32,0.0001,0.0,0.6562070250511169,0.6184386610984802
165,True,2,32,0.0001,0.2,0.6485201120376587,0.6162081956863403
166,True,2,32,0.0001,0.4,0.6489578485488892,0.615539014339447
167,True,2,32,0.0001,0.6,0.6512168049812317,0.615539014339447
168,True,2,32,0.001,0.0,0.6864356994628906,0.617249071598053
169,True,2,32,0.001,0.2,0.6597698926925659,0.6162825226783752
170,True,2,32,0.001,0.4,0.6647102236747742,0.616802990436554
171,True,2,32,0.001,0.6,0.6707562804222107,0.615539014339447
172,True,2,32,0.01,0.0,2.7023098468780518,0.14267657697200775
173,True,2,32,0.01,0.2,2.702317953109741,0.14267657697200775
174,True,2,32,0.01,0.4,2.702313184738159,0.14267657697200775
175,True,2,32,0.01,0.6,2.702314615249634,0.14267657697200775
176,True,2,64,0.0,0.0,0.645635724067688,0.6182899475097656
177,True,2,64,0.0,0.2,0.6481366753578186,0.6206691265106201
178,True,2,64,0.0,0.4,0.6441871523857117,0.6159107685089111
179,True,2,64,0.0,0.6,0.6442492604255676,0.6183643341064453
180,True,2,64,0.0001,0.0,0.6476997137069702,0.6154646873474121
181,True,2,64,0.0001,0.2,0.6481612920761108,0.616802990436554
182,True,2,64,0.0001,0.4,0.6492945551872253,0.616802990436554
183,True,2,64,0.0001,0.6,0.6503250002861023,0.616802990436554
184,True,2,64,0.001,0.0,0.655739963054657,0.616802990436554
185,True,2,64,0.001,0.2,0.6627487540245056,0.6160594820976257
