,BiDirec,Num_layers,Size,Dropout,Reg,Gen.,Prec.,Fit.,average
0,True,1,16,0.0,0.0,0.02711631730989495,0.9418125000000002,0.9494378874301994,0.6394555682466981
1,True,1,16,0.0,1e-05,0.24694306672390465,0.9446041666666669,0.950456614277409,0.7140012825559935
2,True,1,16,0.0,0.0001,0.7046342318892793,0.9378333333333336,0.9397792040705368,0.8607489230977166
3,True,1,16,0.0,0.001,0.765448639777621,0.9261145833333335,0.9275097948634107,0.8730243393247884
4,True,1,16,0.0,0.01,0.8036226587379031,0.8990625000000003,0.8999290886516866,0.8675380824631967
5,True,1,16,0.2,0.0,0.016409766989729006,0.9460625000000004,0.953814309586442,0.6387621921920571
6,True,1,16,0.2,1e-05,0.41160870496659996,0.9434166666666669,0.9477985308031158,0.7676079674787942
7,True,1,16,0.2,0.0001,0.6494156313963559,0.930697916666667,0.9330940631607814,0.8377358704079348
8,True,1,16,0.2,0.001,0.7896061580960967,0.938385416666667,0.9396691975736424,0.8892202574454687
9,True,1,16,0.2,0.01,0.41340607705611687,0.5645729166666669,0.5658503251475094,0.5146097729567644
10,True,1,16,0.4,0.0,0.11608282928414941,0.9429687500000004,0.9498342484409575,0.6696286092417024
11,True,1,16,0.4,1e-05,0.5114809641711072,0.9454895833333335,0.9491618770063478,0.8020441415035963
12,True,1,16,0.4,0.0001,0.6877294403705823,0.9383437500000003,0.9404959561078537,0.8555230488261455
13,True,1,16,0.4,0.001,0.7328237085254103,0.9301041666666667,0.9318391661263912,0.8649223471061561
14,True,1,16,0.4,0.01,0.425656584683949,0.4256875,0.4257240598893526,0.42568938152443386
15,True,1,16,0.6,0.0,0.061907817765903574,0.9375312500000003,0.9448254831691888,0.6480881836450308
16,True,1,16,0.6,1e-05,0.3575585671781439,0.9405520833333336,0.9453401853760814,0.747816945295853
17,True,1,16,0.6,0.0001,0.6785813354781016,0.9132916666666668,0.915221524263158,0.8356981754693088
18,True,1,16,0.6,0.001,0.801407224925549,0.924979166666667,0.9260260836806699,0.8841374917576287
19,True,1,16,0.6,0.01,0.20402901313987798,0.19540625000000003,0.1953245596830268,0.1982532742743016
20,True,1,32,0.0,0.0,0.03478438259615846,0.9459062500000002,0.9535245902228183,0.6447384076063257
21,True,1,32,0.0,1e-05,0.3346229223606393,0.9448229166666668,0.9499095139951333,0.7431184510074799
22,True,1,32,0.0,0.0001,0.6254057714116011,0.9410208333333338,0.9436045880276852,0.8366770642575401
23,True,1,32,0.0,0.001,0.7641060232605845,0.9299166666666666,0.9313597700322997,0.8751274866531836
24,True,1,32,0.0,0.01,0.7537835550878114,0.8863333333333334,0.8874568279639461,0.8425245721283637
25,True,1,32,0.2,0.0,0.03247274839813835,0.9421250000000002,0.9496990329237669,0.6414322604406352
26,True,1,32,0.2,1e-05,0.4943843889183127,0.9437083333333336,0.947492692860989,0.7951951383708784
27,True,1,32,0.2,0.0001,0.6374508081253074,0.9429270833333336,0.9455501709886462,0.8419760208157624
28,True,1,32,0.2,0.001,0.8492846732345821,0.9373229166666669,0.9381143117332462,0.9082406338781651
29,True,1,32,0.2,0.01,0.5425978459984682,0.6043854166666669,0.6049107325647958,0.5839646650766436
30,True,1,32,0.4,0.0,0.04275960470318921,0.9408750000000001,0.9483435087588703,0.6439927044873532
31,True,1,32,0.4,1e-05,0.6163947145957904,0.9464270833333337,0.9491949131579706,0.8373389036956982
32,True,1,32,0.4,0.0001,0.7234900604307065,0.9419583333333336,0.9438171468157323,0.8697551801932574
33,True,1,32,0.4,0.001,0.7969046725503892,0.9377604166666669,0.9389959489617776,0.8912203460596112
34,True,1,32,0.4,0.01,0.33953558039674214,0.32419791666666675,0.32413068399403355,0.3292880603524808
35,True,1,32,0.6,0.0,0.0035714285714285713,0.9447812500000002,0.9526188085100915,0.6336571623605067
